BldgType,BldgLoc,BldgVint,NormUnit,Value,Measure
SFm,CZ14,Any,Area-ft2,2910,Ceiling Insulation
SFm,CZ15,Any,Area-ft2,2910,Ceiling Insulation
SFm,CZ16,Any,Area-ft2,2910,Ceiling Insulation
SFm,CZ01,Ex,Cap-Tons,3.4,PTAC / PTHP
SFm,CZ02,Ex,Cap-Tons,6.3,PTAC / PTHP
SFm,CZ03,Ex,Cap-Tons,6.8,PTAC / PTHP
SFm,CZ04,Ex,Cap-Tons,6.2,PTAC / PTHP
SFm,CZ05,Ex,Cap-Tons,7.1,PTAC / PTHP
SFm,CZ06,Ex,Cap-Tons,6.1,PTAC / PTHP
SFm,CZ07,Ex,Cap-Tons,6.3,PTAC / PTHP
SFm,CZ08,Ex,Cap-Tons,6.6,PTAC / PTHP
SFm,CZ09,Ex,Cap-Tons,8.5,PTAC / PTHP
SFm,CZ10,Ex,Cap-Tons,4.6,PTAC / PTHP
SFm,CZ11,Ex,Cap-Tons,4.1,PTAC / PTHP
SFm,CZ12,Ex,Cap-Tons,4.1,PTAC / PTHP
SFm,CZ13,Ex,Cap-Tons,4.5,PTAC / PTHP
SFm,CZ14,Ex,Cap-Tons,3.5,PTAC / PTHP
SFm,CZ15,Ex,Cap-Tons,4.5,PTAC / PTHP
SFm,CZ16,Ex,Cap-Tons,4.3,PTAC / PTHP
SFm,CZ01,New,Cap-Tons,1.7,PTAC / PTHP
SFm,CZ02,New,Cap-Tons,1.6,PTAC / PTHP
SFm,CZ03,New,Cap-Tons,2.8,PTAC / PTHP
SFm,CZ04,New,Cap-Tons,1.8,PTAC / PTHP
SFm,CZ05,New,Cap-Tons,2.8,PTAC / PTHP
SFm,CZ06,New,Cap-Tons,2.3,PTAC / PTHP
SFm,CZ07,New,Cap-Tons,2.9,PTAC / PTHP
SFm,CZ08,New,Cap-Tons,2.8,PTAC / PTHP
SFm,CZ09,New,Cap-Tons,3.4,PTAC / PTHP
SFm,CZ10,New,Cap-Tons,2.1,PTAC / PTHP
SFm,CZ11,New,Cap-Tons,2.4,PTAC / PTHP
SFm,CZ12,New,Cap-Tons,2.3,PTAC / PTHP
SFm,CZ13,New,Cap-Tons,2.5,PTAC / PTHP
SFm,CZ14,New,Cap-Tons,1.7,PTAC / PTHP
SFm,CZ15,New,Cap-Tons,2.6,PTAC / PTHP
SFm,CZ16,New,Cap-Tons,3.4,PTAC / PTHP
SFm,Any,Any,Household,2,Whole House Fan
SFm,Any,Any,kWhreduced,800,Refrigerator/Freezer
