BldgType,BldgLoc,BldgVint,MeasureType,NormUnit,Value
SFm,CZ04,Ex,PTAC/PTHP,Cap-Tons,6.2
SFm,CZ05,Ex,PTAC/PTHP,Cap-Tons,7.1
SFm,CZ06,Ex,PTAC/PTHP,Cap-Tons,6.1
SFm,CZ07,Ex,PTAC/PTHP,Cap-Tons,6.3
SFm,CZ08,Ex,PTAC/PTHP,Cap-Tons,6.6
SFm,CZ09,Ex,PTAC/PTHP,Cap-Tons,8.5
SFm,CZ10,Ex,PTAC/PTHP,Cap-Tons,4.6
SFm,CZ11,Ex,PTAC/PTHP,Cap-Tons,4.1
SFm,CZ12,Ex,PTAC/PTHP,Cap-Tons,4.1
SFm,CZ13,Ex,PTAC/PTHP,Cap-Tons,4.5
SFm,CZ14,Ex,PTAC/PTHP,Cap-Tons,3.5
SFm,CZ15,Ex,PTAC/PTHP,Cap-Tons,4.5
SFm,CZ16,Ex,PTAC/PTHP,Cap-Tons,4.3
SFm,CZ01,New,PTAC/PTHP,Cap-Tons,1.7
SFm,CZ02,New,PTAC/PTHP,Cap-Tons,1.6
SFm,CZ03,New,PTAC/PTHP,Cap-Tons,2.8
SFm,CZ04,New,PTAC/PTHP,Cap-Tons,1.8
SFm,CZ05,New,PTAC/PTHP,Cap-Tons,2.8
SFm,CZ06,New,PTAC/PTHP,Cap-Tons,2.3
SFm,CZ07,New,PTAC/PTHP,Cap-Tons,2.9
SFm,CZ08,New,PTAC/PTHP,Cap-Tons,2.8
SFm,CZ09,New,PTAC/PTHP,Cap-Tons,3.4
SFm,CZ10,New,PTAC/PTHP,Cap-Tons,2.1
SFm,CZ11,New,PTAC/PTHP,Cap-Tons,2.4
SFm,CZ12,New,PTAC/PTHP,Cap-Tons,2.3
SFm,CZ13,New,PTAC/PTHP,Cap-Tons,2.5
SFm,CZ14,New,PTAC/PTHP,Cap-Tons,1.7
SFm,CZ15,New,PTAC/PTHP,Cap-Tons,2.6
SFm,CZ16,New,PTAC/PTHP,Cap-Tons,3.4
SFm,,,WholeHouseFan,Household,2
SFm,,,Refrigerator/Freezer,kWhreduced,800
